, ???
reade, read
readie, ready
realmes, realms
reape, reap
reapse, ''
reasone, reason
recevyd, received
reckened, reckoned
reclaime, reclaim
redeeme, redeem
redresse, redress
refraind, refrained
refraine, refrain
refusall, refusal
regall, regal
regarde, regard
registred, registered
rejoiceth, ''
rejoyce, rejoice
rejoyced, rejoiced
rejoycing, rejoicing
reliefe, relief
relikes, relics
reliks, relics
remaine, remain
remedie, remedy
remembred, remembered
remembring, remembering
remisse, remiss
remoove, remove
remooved, removed
rendred, rendered
rendring, rendering
renowne, renown
repaire, repair
repente, repent
repenteth, ''
represse, repress
reproachfull, reproachful
requireth, ''
resembleth, ''
resemling, resembling
respit, respite
resteth, ''
restlesse, restless
restraine, restrain
restrainest, ''
retaine, retain
retaineth, ''
returne, return
returneth, ''
retyre, retire
reveale, reveal
riche, rich
ridde, rid
ripenesse, ripeness
roade, road
rocke, rock
rockes, rocks
roofe, roof
roome, room
roote, root
rosie, rosy
royall, royal
rubbell, rubble
ruggednesse, ruggedness
ruine, ruin
runne, run
runnest, ''
runneth, ''
rusticall, rustical
rusticke, rustic
ryot, riot
sacke, sack
sackes, sacks
sadnesse, sadness
saile, sail
saist, ''
salitary, salutary
sappe, sap
satisfie, satisfy
sawce, sauce
sayd, said
sayth, saith
scarre, scar
scarse, scarce
scholler, scholar
schoole, school
schoolemaster, schoolmaster
scituation, situation
scorne, scorn
scortch, scorch
scoure, scour
scowre, scour
scowred, scoured
scurfe, scurf
seale, seal
searcheth, ''
seargants, sergeants
seate, seat
seaven, seven
seede, seed
seeke, seek
seeme, seem
seemedst, ''
seemely, seemly
seemest, ''
seemeth, ''
seene, seen
seest, ''
seeth, ''
seldome, seldom
selfe, self
senatours, senators
sence, sense
sences, senses
sensuall, sensual
servil, servile
servingmaids, serving-maids
setteth, ''
shaked, ''
shal, shall
shamefastnes, shamefacedness
shamefastness, ''
shamefastnesse, shamefacedness
sharpe, sharp
sharpely, sharply
sheafes, sheaves
shee, she
sheep-coats, sheepcotes
sheepe, sheep
sheepehooke, sheepehook
sheepheard, shepherd
sheephook, ''
sheffes, sheafs
shepheard, shepherd
shepheards, shepherds
shineth, ''
shippe, ship
shold, should
sholders, shoulders
shooes, shoes
shorne, shorn
shortned, shortened
shoulde, should
showes, shows
showeth, ''
showt, shout
shunne, shun
shutte, shut
sicke, sick
sicknesse, sickness
sighes, sighs
signe, sign
signes, signs
signifie, signify
signifieth, ''
signifiing, signifying
silke, silk
sithes, scythes
sittest, ''
sixe, six
skarfe, scarf
skie, sky
skinne, skin
skinnes, skins
slacknesse, slackness
slaine, slain
slandred, slandered
slayeth, ''
sleepe, sleep
sleepeth, ''
slendernesse, slenderness
slewest, ''
sley, slay
slipperie, slippery
slothfullnesse, slothfulness
slownesse, slowness
smoake, smoke
smocke, smock
snaile, snail
sneesed, sneezed
sneesing, sneezing
sodaine, sudden
sodainely, suddenly
sodainly, suddenly
soiles, soils
solemne, solemn
solempne, solemn
solempnity, solemnity
solitarinesse, solitariness
somtime, sometime
somwhat, somewhat
sonne, son
sonnes, sons
soone, soon
sorcerie, sorcery
sorrie, sorry
sorrowes, sorrows
sorrowfull, sorrowful
sould, sold
soulde, sold
souldier, soldier
souldiers, soldiers
soule, soul
soules, souls
soveraign, sovereign
soveraigne, sovereign
sowe, sow
sowen, sewn
soweth, ''
sowne, {#######'sewn' ### OR ### 'sown'#######}
sowre, sour
soyle, soil
sparckled, sparkled
sparrowes, sparrows
sparsed, ''
speake, speak
speare, spear
speares, spears
speciall, special
spirite, spirit
spirites, spirits
spirituall, spiritual
spitefull, spiteful
spowse, spouse
spoyl, spoil
spoyle, spoil
spoyled, spoiled
spred, spread
sprots, sprats
spurne, spurn
staffe, staff
staied, stayed
staires, stairs
standest, ''
standeth, ''
starke, stark
starres, stars
steale, steal
sterill, sterile
steven, ''
sticke, stick
stiffle, stifle
stil, still
stinke, stink
stirre, stir
stocke, stock
stomacke, stomach
stomackes, stomachs
stombled, stumbled
stonie, stony
stoole, stool
stoppe, stop
storme, storm
stormes, storms
straie, stray
streame, stream
streames, streams
streate, street
streete, street
streetes, streets
streined, strained
strid, ''
striken, stricken
stroken, stricken
strooke, struck
stuffe, stuff
subterene, subterrene
subtleity, subtlety
subtlel, subtle
subtlenesse, subtleness
successe, success
successours, successors
succorest, ''
suddaine, sudden
suddainly, suddenly
suffereth, ''
sufficeth, ''
summe, sum
