Ceres,'’,'’
certaine, certain,'’
cervam, '', [latin]
Cesar, Caesar,'’
ceteris, '', [latin]
chaced, chased,'’
chaire, chair,'’
chaires, chairs,'’
chamberlaine, chamberlain,'’
chapell, chapel,'’
Charite, Charites,'’
Charites,'’,[character] kidnap victim
Charles,'’,'’
charme, charm,'’
charmes, charms,'’
Charon,'’,'’
chasse,'’, casket
chast, chaste,'’
chastitie, chastity,'’
cheapned, cheapened,'’
cheekes, cheeks,'’
cheere, cheer,'’
Cherillus, Choerilus, poet
cheval, '', [french]
chickin, chicken,'’
chiefe, chief,'’
chiez, '', [latin]
childishnesse, childishness,'’
childrens, children's,'’
Chimera,'’,'’
choller, choler,'’
chooseth,'’,'’
choppe, chop,'’
Chriseros,'’,'’
Christ,'’,'’
christall, crystal,'’
chuffe, chuff,'’
Cicero,'’,'’
cicuta,'’,'’
cimbals, cymbals,'’
cinamon, cinnamon,'’
cipresse, cypress,'’
Circe,'’,'’
citie, city,'’
citisen, citizen,'’
citisens, citizens,'’
civill, civil,'’
Cl,'’, [abbr] Claudius
Claudius,'’,'’
clawes, claws,'’
clayme, claim,'’
cleane, clean,'’
cleare, clear,'’
cleareth,'’,'’
cleere, clear,'’
clense, cleanse,'’
clerke, clerk,'’
climbe, climb,'’
climed, climbed,'’
cloake, cloak,'’
cloakes, cloaks,'’
cloked, cloaked,'’
cloutes, cloths,'’
clubbes, clubs,'’
coale, coal,'’
coate, coat,'’
Cobler, Cobbler,'’
cocke, cock,'’
cockes, cocks,'’
Cocytus,'’,'’
coetus, '', [latin]
cofers, coffers,'’
cogitationis, '', [latin]
colledge, college,'’
colourless,'’,'’
combred, cumbered,'’
comelinesse, comeliness,'’
comly, comely,'’
commandement, commandment,'’
commandements, commandments,'’
commandeth,'’,'’
commaund, command,'’
commaunded, commanded,'’
commaundement, commandement,'’
commentariis, '', [latin]
commest,'’,'’
commeth,'’,'’
comming, coming,'’
commited, committed,'’
commodum, '', [latin]
commonweale, commonweal,'’
companie, company,'’
compascuus, '', [latin]
compasse, compass,'’
compelleth,'’,'’
complaine, complain,'’
conceale, conceal,'’
concubia, '', [latin]
condemnest,'’,'’
confessd, confessed,'’
confesse, confess,'’
confirme, confirm,'’
coniuncti, '', [latin]
conject,'’,'’
contayning, containing,'’
contemme, condemn,'’
contemne', condemn,'’
contemnest, contemnest,'’
contes, '', [french]
continencie, continency,'’
continency, continence,'’
continuall, continual,'’
convenable,'’,'’
conveniable, convenable,'’
convenlre, '', [latin]
conversent, conversant,'’
cooke, cook,'’
coopyes, copies,'’
cope,'’, clerical cloak
Copton,'’,'’
Corinth,'’,'’
corne, corn,'’
Cornelia,'’,'’
corpes, corpse,'’
corrupto, '', [latin]
cosin, cousin,'’
cosses, kisses,'’
coucheth,'’, bow down
counsailed, counselled,'’
counsell, counsel,'’
counterpoison,'’,'’
counterpoyson, counterpoison,'’
countrey, country,'’
countreyes, countries,'’
countreys, countries,'’
country-house,'’,'’
couragious, courageous,'’
couragiously, courageously,'’
courtesie, courtesy,'’
cousine, cousin,'’
coverartist,'’,'’
covereth,'’,'’
covetousnes, covetousness,'’
cowardise, cowardice,'’
cowheards, cowherds,'’
crackt, cracked,'’
creepe, creep,'’
Creon,'’,'’
crepusculum, '', [latin]
crevis, crevice,'’
crie, cry,'’
crowne, crown,'’
crownes, crowns,'’
